res_id,page,name,review page,review,rating,id,comment,helpful,arriving time,review time
1,1, Le Noir Bar & Lounge,1.0,wonderful atmosphere small place excellent foods service very nice lighting i back,5,Tufayelhu,162,47,Feb-20,1 week ago 
1,1, Le Noir Bar & Lounge,1.0,if looking venue iconic view singapore skyline friendly staff i recommend le noir bar lounge easy work planning excellent looking guests what memorable night,5,Otium54,48,34,Jan-20,4 weeks ago 
1,1, Le Noir Bar & Lounge,1.0,stumbled across first night key spot clarke quay probably gets lot passing trade lovely drinks good live music didn t eat,4,PrettyPacha,92,30,Feb-20,4 weeks ago 
1,1, Le Noir Bar & Lounge,1.0,very nice place drink very good customer service vinoth tdh man bel cynthia vani thea i highly recommend place,5,107xavierd,2,1,Jan-20,26-Jan-20
1,1, Le Noir Bar & Lounge,1.0,great position marina bay super people watching drinks food usual prices pizza crisp tasty great live music there good views fountain display fireworks bay best service prompt pleasant throughout,5,Dillybop,277,138,Jan-20,26-Jan-20
1,1, Le Noir Bar & Lounge,2.0,this bar best location singapore service doesn t correspond expectation ex i get go balcon get order bar wasn t even full the drink food good opinion way expensive experience overall,3,ritaduarte96,10,2,Jan-20,25-Jan-20
1,1, Le Noir Bar & Lounge,2.0,stopped one five good view surroundings including spectre light show prices relatively high everywhere around good service they great live music there mix songs really talented guys,4,sherlocks834,10,3,Jan-20,21-Jan-20
1,1, Le Noir Bar & Lounge,2.0,friendly staff great selection drinks food awesome views must see tourist visiting singapore,5,112deniss,82,8,Jan-20,19-Jan-20
1,1, Le Noir Bar & Lounge,3.0,we enjoyed stay much friendly staff great drinks perfect location excellent view skyline this definitely must see singapore,5,walterhY2858KN,3,1,Jan-20,13-Jan-20
1,1, Le Noir Bar & Lounge,3.0,the atmosphere makes one it s dark mysterious little bit dangerous music beautiful 2 visits 2 top notch experiences cocktail menu could revamp bad length,4,CocktailFyre,42,43,Jan-20,6-Jan-20
1,1, Le Noir Bar & Lounge,3.0,i went le noir husband saturday night the live music amazing great service lovely food from bar even watch spectra light show i definitely recommend,5,Guilherme S,3,2,Nov-19,3-Jan-20
