name,link,cuisine,rating,address,from,tel,coordinate,description
Earlybird,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d14045239-Reviews-Earlybird-Singapore.html,"Cafe, Fusion",4.5,"17 Jalan Pinang, Singapore 199149 Singapore","Central Area/City Area,0.8 km from Little India",+65 9788 6856,"1.303056,103.858124","DetailsPRICE RANGES$4 - S$25CUISINESCafe, FusionSpecial DietsVegetarian FriendlyView all detailsmeals, features, about"
1. Le Noir Bar & Lounge,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d18190065-Reviews-Le_Noir_Bar_Lounge-Singapore.html,"International, Bar",5,"2 Bayfront Avenue #01-84 Marina Bay Sands The Shoppes at Marina Bay Sands, Singapore 018972 Singapore",0.8 km from Marina Bay,+65 8817 6229,"1.284573,103.858925","DetailsPRICE RANGES$10 - S$21CUISINESInternational, BarMealsLunch, Dinner, Brunch, After-hours, DrinksView all detailsfeatures, about"
2. Marmaris Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17348063-Reviews-Marmaris_Restaurant-Singapore.html,"Arabic, Fast food",5,"111 Dunlop Street, Singapore 209430 Singapore",0.2 km from Little India,+65 6291 3001,"1.305577,103.852936","DetailsPRICE RANGES$4 - S$20CUISINESArabic, Fast food, MediterraneanSpecial DietsVegetarian Friendly, Vegan Options, HalalView all detailsmeals, features, about"
3. Fu Lin Men (CSC),https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13873832-Reviews-Fu_Lin_Men_CSC-Singapore.html,"Chinese, Asian",5,"21 Amber Road # 03 Chinese Swimming Club 01, Singapore 439870 Singapore","Marine Parade,4.3 km from Singapore Flyer",+65 6282 0810,"1.300157,103.900558","Food and ambienceChinese, Asian, Diner, Vegetarian Friendly, Vegan OptionsI would recommend this restaurant for causal diners and anyone looking to mak...Decided to hold my mom’s birthday at this restaurant and very impressed by Ke...The Peking duck was amazing and the duck meat is juicy and tender.We had roasted duck, pork, stuffed sea cucumber and a smashing vegetable dish..."
4. Alma By Juan Amador,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8504143-Reviews-Alma_By_Juan_Amador-Singapore.html,"European, Fusion",4.5,"22 Scotts Road Goodwood Park Hotel Goodwood Park Hotel, Singapore 228221 Singapore","Central Area/City Area,1.7 km from Singapore Botanic Gardens",+65 6735 9937,"1.308064,103.833801","Food and ambienceEuropean, Fusion, Vegetarian Friendly, Vegan Options, Gluten Free Options... day my stomach experienced discomfort perhaps due to the oyster dish.Followed by the 6-course dinner menu with scallops tartare, sea urchin & smok...Special Occasion Dining, Romantic, Groups, Business meetingsBirthday treatGreat place for business lunch."
5. Fu Lin Men Chinese Restaurant (SRC),https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15608624-Reviews-Fu_Lin_Men_Chinese_Restaurant_SRC-Singapore.html,"Chinese, Asian",5,"B Connaught Drive, S179682 Level 2, Singapore Recreation Club, Singapore 179682 Singapore",0.6 km from Merlion Park,+65 6338 9595,"1.292074,103.853806","Food and ambienceChinese, Asian, Singaporean, Diner, Vegetarian Friendly, Vegan OptionsMom 80th Birthday on 13/7/19... stuff for dim sum, we enjoyed the food's freshness especially prawns roll.Sweet and sour pork is a must as is the special fried rice with egg strands (...Business meetingsQuite place for business lunch."
Japan Food Town,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10769568-Reviews-Japan_Food_Town-Singapore.html,Japanese,4.5,"435 Orchard Road Wisma Atria Wisma Atria, Level 4, Singapore 238877 Singapore","Boulevard,1.8 km from Singapore Botanic Gardens",+65 6694 6535,"1.303686,103.833321","DetailsCUISINESJapaneseMealsLunch, Dinner, DrinksFEATURESSeating, Wheelchair Accessible, Reservations, Parking Available, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table ServiceView all detailsfeatures, about"
6. Entre-Nous creperie,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1193730-Reviews-Entre_Nous_creperie-Singapore.html,"French, European",4.5,"27 Seah Street # 01-01, Singapore 188383 Singapore","Central Area/City Area,0.4 km from City Hall Building",+65 6333 4671,"1.296215,103.854622","DetailsPRICE RANGES$15 - S$31CUISINESFrench, EuropeanSpecial DietsVegetarian Friendly, Vegan Options, Gluten Free OptionsView all detailsmeals, features, about"
7. Cure,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8414199-Reviews-Cure-Singapore.html,"Irish, European",4.5,"21 Keong Saik Road, Singapore 089128 Singapore","Outram,0.4 km from Chinatown",+65 6221 2189,"1.279722,103.841545","Food and ambienceIrish, European, Vegetarian Friendly, Gluten Free Options... “fine-dining bistro” and indeed both his dishes and service are first class.We read about this restaurant in an article from a newspaper in Ireland (Iris...Special Occasion Dining, Romantic, Business meetingsPerfect for a romantic dinner."
8. Positano Risto,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13152787-Reviews-Positano_Risto-Singapore.html,"Italian, Pizza",4.5,"66 Bussorah Street, Singapore 199479 Singapore","Central Area/City Area,1.1 km from Little India",+65 6292 1866,"1.301108,103.859909","Food and ambienceItalian, Pizza, European, Vegetarian Friendly, Vegan Options, HalalAwesome LasagnaThe seafood (mussels, prawns, calamari and scallops) were definitely fresh an...Special Occasion Dining, Romantic, Groups, Business meetingsBirthday treat from sis and broinlawalso a great place to celebrate a birthday or special occasion."
